('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    81216    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
67667/61763    0.009    0.000    0.010    0.000 {built-in method builtins.len}
46898/46876    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    26441    0.009    0.000    0.012    0.000 _parser.py:167(__getitem__)
    21462    0.004    0.000    0.004    0.000 _parser.py:239(__next)
    18967    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
    13708    0.004    0.000    0.007    0.000 _parser.py:260(get)
    13599    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    11645    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
    11607    0.003    0.000    0.004    0.000 _parser.py:163(__len__)
    10955    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    10845    0.003    0.000    0.004    0.000 _parser.py:255(match)
     9175    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     7815    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     6914    0.002    0.000    0.003    0.000 _parser.py:175(append)
     6692    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6345    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5691    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     5263    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
 5131/189    0.015    0.000    0.035    0.000 _compiler.py:37(_compile)
 5087/384    0.005    0.000    0.007    0.000 _parser.py:177(getwidth)
     4983    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
 4585/226    0.024    0.000    0.067    0.000 _parser.py:511(_parse)
     4535    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4530    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
     4339    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3792    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3740    0.002    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     3593    0.001    0.000    0.002    0.000 _parser.py:292(tell)
     3406    0.005    0.000    0.008    0.000 util.py:18(lower)
     3203    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3129    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2953    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2562    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
     2534    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2456    0.000    0.000    0.000    0.000 typing.py:2371(cast)
     2455    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
     2452    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     2423    0.001    0.000    0.001    0.000 css_match.py:94(is_tag)
     2268    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
     2262    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     2248    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
1980/1946    0.002    0.000    0.018    0.000 typing.py:426(inner)
     1951    0.002    0.000    0.009    0.000 __init__.py:829(endData)
