('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
       49    1.432    0.029    1.432    0.029 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.314    0.314    0.314    0.314 {built-in method _socket.getaddrinfo}
        1    0.310    0.310    0.310    0.310 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.132    0.132    0.132    0.132 {method 'connect' of '_socket.socket' objects}
 4768/191    0.030    0.000    0.083    0.000 _parser.py:511(_parse)
      167    0.021    0.000    0.021    0.000 {built-in method marshal.loads}
      216    0.021    0.000    0.145    0.001 {method 'read' of '_io.BufferedReader' objects}
 5540/184    0.018    0.000    0.040    0.000 _compiler.py:37(_compile)
      233    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.013    0.013    0.013    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    85753    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
  548/543    0.011    0.000    0.066    0.000 {built-in method builtins.__build_class__}
        1    0.010    0.010    0.010    0.010 quoprimime.py:1(<module>)
72140/65806    0.010    0.000    0.011    0.000 {built-in method builtins.len}
1077/1047    0.009    0.000    0.010    0.000 {built-in method __new__ of type object at 0xa13020}
        1    0.009    0.009    0.023    0.023 api.py:33(from_bytes)
    29747    0.009    0.000    0.012    0.000 _parser.py:167(__getitem__)
        2    0.008    0.004    0.065    0.032 parser.py:203(goahead)
 1275/184    0.007    0.000    0.083    0.000 _parser.py:451(_parse_sub)
      961    0.007    0.000    0.034    0.000 parser.py:407(parse_starttag)
    11513    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
      120    0.006    0.000    0.008    0.000 cd.py:172(characters_popularity_compare)
45039/45033    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
 5488/371    0.006    0.000    0.008    0.000 _parser.py:177(getwidth)
      914    0.006    0.000    0.009    0.000 _compiler.py:241(_optimize_charset)
    17605    0.006    0.000    0.009    0.000 _parser.py:260(get)
      234    0.006    0.000    0.022    0.000 response.py:137(decompress)
     3406    0.005    0.000    0.009    0.000 util.py:18(lower)
    26475    0.005    0.000    0.005    0.000 _parser.py:239(__next)
        1    0.004    0.004    0.050    0.050 dammit.py:128(_populate_class_variables)
       11    0.004    0.000    0.517    0.047 {method 'join' of 'bytes' objects}
      884    0.003    0.000    0.016    0.000 parser.py:465(parse_endtag)
    13454    0.003    0.000    0.005    0.000 _parser.py:255(match)
      961    0.003    0.000    0.015    0.000 __init__.py:990(handle_starttag)
      8/6    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
      425    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
      961    0.003    0.000    0.005    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        8    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      902    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    12818    0.003    0.000    0.004    0.000 _parser.py:163(__len__)
        1    0.002    0.002    0.002    0.002 dammit.py:969(_to_unicode)
     2699    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
    20466    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      962    0.002    0.000    0.008    0.000 element.py:1813(__init__)
      167    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     1958    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      988    0.002    0.000    0.018    0.000 css_match.py:1299(match_selectors)
      490    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
     7496    0.002    0.000    0.003    0.000 _parser.py:175(append)
    10386    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      961    0.002    0.000    0.017    0.000 _htmlparser.py:142(handle_starttag)
      257    0.002    0.000    0.138    0.001 __init__.py:330(_compile)
      136    0.002    0.000    0.002    0.000 {built-in method builtins.all}
