('Market Cap', '3.515T')
         629954 function calls (605540 primitive calls) in 3.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    2.091    0.051    2.091    0.051 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.641    0.641    0.641    0.641 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.323    0.323    0.323    0.323 {built-in method _socket.getaddrinfo}
        1    0.092    0.092    0.092    0.092 {method 'connect' of '_socket.socket' objects}
      196    0.032    0.000    1.810    0.009 {method 'read' of '_io.BufferedReader' objects}
 4768/191    0.031    0.000    0.091    0.000 _parser.py:511(_parse)
 5540/184    0.022    0.000    0.047    0.000 _compiler.py:37(_compile)
      167    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        1    0.018    0.018    0.018    0.018 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    85733    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
73156/66838    0.012    0.000    0.014    0.000 {built-in method builtins.len}
      240    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    29731    0.010    0.000    0.015    0.000 _parser.py:167(__getitem__)
  548/543    0.009    0.000    0.064    0.000 {built-in method builtins.__build_class__}
        2    0.009    0.004    0.072    0.036 parser.py:203(goahead)
45415/45409    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    11512    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
 5488/371    0.008    0.000    0.011    0.000 _parser.py:177(getwidth)
      961    0.008    0.000    0.038    0.000 parser.py:407(parse_starttag)
1077/1047    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa13020}
 1275/184    0.008    0.000    0.091    0.000 _parser.py:451(_parse_sub)
        1    0.007    0.007    0.020    0.020 api.py:33(from_bytes)
      914    0.006    0.000    0.010    0.000 _compiler.py:241(_optimize_charset)
      120    0.006    0.000    0.007    0.000 cd.py:172(characters_popularity_compare)
    17605    0.006    0.000    0.009    0.000 _parser.py:260(get)
     3406    0.005    0.000    0.009    0.000 util.py:18(lower)
        1    0.005    0.005    0.075    0.075 dammit.py:128(_populate_class_variables)
    26475    0.005    0.000    0.005    0.000 _parser.py:239(__next)
    13454    0.004    0.000    0.005    0.000 _parser.py:255(match)
      136    0.004    0.000    0.004    0.000 {built-in method builtins.all}
      961    0.004    0.000    0.005    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    12802    0.004    0.000    0.005    0.000 _parser.py:163(__len__)
      961    0.004    0.000    0.016    0.000 __init__.py:990(handle_starttag)
      242    0.003    0.000    0.016    0.000 response.py:137(decompress)
      884    0.003    0.000    0.018    0.000 parser.py:465(parse_endtag)
      425    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
      902    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      8/6    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
        8    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      122    0.003    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
      961    0.003    0.000    0.019    0.000 _htmlparser.py:142(handle_starttag)
    20466    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
      962    0.003    0.000    0.009    0.000 element.py:1813(__init__)
     7496    0.002    0.000    0.004    0.000 _parser.py:175(append)
     1958    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      167    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        1    0.002    0.002    0.002    0.002 dammit.py:969(_to_unicode)
     2699    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      490    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
       11    0.002    0.000    1.806    0.164 {method 'join' of 'bytes' objects}
    14544    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    10386    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      988    0.002    0.000    0.018    0.000 css_match.py:1299(match_selectors)
      257    0.002    0.000    0.156    0.001 __init__.py:330(_compile)
7270/7202    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      961    0.002    0.000    0.003    0.000 __init__.py:953(_popToTag)
       16    0.002    0.000    0.004    0.000 enum.py:1753(convert_class)
     1951    0.002    0.000    0.008    0.000 __init__.py:829(endData)
     3830    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
      258    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      212    0.002    0.000    0.003    0.000 response.py:399(get)
      167    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
     4237    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      962    0.001    0.000    0.002    0.000 __init__.py:812(pushTag)
     2252    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     4354    0.001    0.000    0.002    0.000 _parser.py:292(tell)
      167    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
      212    0.001    0.000    1.803    0.009 response.py:1061(read)
     3740    0.001    0.000    0.003    0.000 _markupbase.py:44(updatepos)
     6215    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     7002    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      218    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    221/3    0.001    0.000    0.323    0.108 <frozen importlib._bootstrap>:1349(_find_and_load)
        5    0.001    0.000    0.002    0.000 cd.py:137(alphabet_languages)
        5    0.001    0.000    0.002    0.000 cd.py:252(alpha_unicode_split)
      914    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
     1724    0.001    0.000    0.001    0.000 element.py:382(setup)
      988    0.001    0.000    0.006    0.000 css_match.py:291(get_attribute_by_name)
     8226    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      288    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
       17    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
      961    0.001    0.000    0.001    0.000 __init__.py:789(popTag)
      334    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
1675/1651    0.001    0.000    0.007    0.000 typing.py:426(inner)
      961    0.001    0.000    0.003    0.000 parser.py:455(check_for_whole_start_tag)
      988    0.001    0.000    0.020    0.000 css_match.py:1414(match)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
1883/1846    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     4983    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      319    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2423    0.001    0.000    0.001    0.000 css_match.py:94(is_tag)
    169/1    0.001    0.000    3.647    3.647 {built-in method builtins.exec}
      184    0.001    0.000    0.011    0.000 _compiler.py:514(_compile_info)
     4616    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    220/3    0.001    0.000    0.323    0.108 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1125    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      961    0.001    0.000    0.012    0.000 __init__.py:1056(handle_endtag)
      292    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      231    0.001    0.000    0.001    0.000 _collections.py:257(__getitem__)
     1373    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
