('Market Cap', '3.515T')
         620587 function calls (596876 primitive calls) in 2.318 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    240/1    0.008    0.000    2.318    2.318 {built-in method builtins.exec}
        1    0.000    0.000    2.318    2.318 financial_enhanced.py:1(<module>)
        1    0.000    0.000    2.090    2.090 financial_enhanced.py:7(main)
        1    0.000    0.000    1.969    1.969 _api.py:174(get)
        1    0.000    0.000    1.969    1.969 _api.py:39(request)
        1    0.000    0.000    1.900    1.900 _client.py:771(request)
        1    0.000    0.000    1.900    1.900 _client.py:879(send)
       26    0.001    0.000    1.233    0.047 http11.py:209(_receive_event)
       24    0.001    0.000    1.227    0.051 sync.py:124(read)
       24    0.000    0.000    1.225    0.051 ssl.py:1278(recv)
       24    0.000    0.000    1.225    0.051 ssl.py:1129(read)
       24    1.225    0.051    1.225    0.051 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.035    1.035 _client.py:930(_send_handling_auth)
        1    0.000    0.000    1.035    1.035 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    1.035    1.035 _client.py:1001(_send_single_request)
        1    0.000    0.000    1.032    1.032 default.py:230(handle_request)
        1    0.000    0.000    1.032    1.032 connection_pool.py:199(handle_request)
        1    0.000    0.000    1.032    1.032 connection.py:69(handle_request)
        1    0.000    0.000    0.865    0.865 _models.py:876(read)
        5    0.003    0.001    0.865    0.173 {method 'join' of 'bytes' objects}
       25    0.000    0.000    0.861    0.034 _models.py:884(iter_bytes)
       25    0.000    0.000    0.840    0.034 _models.py:935(iter_raw)
       25    0.000    0.000    0.839    0.034 _client.py:152(__iter__)
       25    0.000    0.000    0.839    0.034 default.py:125(__iter__)
       25    0.000    0.000    0.839    0.034 connection_pool.py:401(__iter__)
       25    0.000    0.000    0.839    0.034 http11.py:330(__iter__)
       25    0.000    0.000    0.839    0.034 http11.py:196(_receive_response_body)
        1    0.000    0.000    0.632    0.632 connection.py:105(_connect)
       29    0.001    0.000    0.623    0.021 __init__.py:1(<module>)
        1    0.000    0.000    0.456    0.456 sync.py:188(connect_tcp)
        1    0.000    0.000    0.456    0.456 socket.py:822(create_connection)
        1    0.003    0.003    0.399    0.399 http11.py:65(handle_request)
        1    0.000    0.000    0.395    0.395 http11.py:170(_receive_response_headers)
    272/7    0.001    0.000    0.288    0.041 <frozen importlib._bootstrap>:1349(_find_and_load)
    271/6    0.001    0.000    0.287    0.048 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    240/6    0.001    0.000    0.287    0.048 <frozen importlib._bootstrap>:911(_load_unlocked)
    212/6    0.001    0.000    0.286    0.048 <frozen importlib._bootstrap_external>:1021(exec_module)
   538/12    0.002    0.000    0.285    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.273    0.273 socket.py:960(getaddrinfo)
        1    0.272    0.272    0.273    0.273 {built-in method _socket.getaddrinfo}
        1    0.182    0.182    0.182    0.182 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.177    0.177 sync.py:144(start_tls)
        1    0.000    0.000    0.176    0.176 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.176    0.176 ssl.py:990(_create)
        1    0.000    0.000    0.176    0.176 ssl.py:1365(do_handshake)
        1    0.176    0.176    0.176    0.176 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.134    0.134 element.py:1(<module>)
    25/15    0.000    0.000    0.131    0.009 {built-in method builtins.__import__}
        2    0.000    0.000    0.129    0.064 _api.py:1(<module>)
      262    0.000    0.000    0.122    0.000 __init__.py:287(compile)
      271    0.002    0.000    0.122    0.000 __init__.py:330(_compile)
      189    0.001    0.000    0.118    0.001 _compiler.py:743(compile)
        1    0.000    0.000    0.098    0.098 __init__.py:211(__init__)
    74/59    0.000    0.000    0.090    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.079    0.079 _client.py:1(<module>)
      189    0.001    0.000    0.070    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.070    0.070 css.py:1(<module>)
 1140/189    0.006    0.000    0.069    0.000 _parser.py:451(_parse_sub)
        1    0.000    0.000    0.069    0.069 __init__.py:653(_feed)
        1    0.000    0.000    0.069    0.069 _htmlparser.py:433(feed)
        1    0.000    0.000    0.069    0.069 parser.py:153(feed)
        2    0.008    0.004    0.069    0.034 parser.py:203(goahead)
 4585/226    0.023    0.000    0.068    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.068    0.068 _client.py:639(__init__)
        1    0.000    0.000    0.068    0.068 _client.py:718(_init_transport)
        1    0.000    0.000    0.068    0.068 default.py:136(__init__)
        1    0.000    0.000    0.068    0.068 _auth.py:1(<module>)
  705/699    0.008    0.000    0.066    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.064    0.064 css_parser.py:1(<module>)
        1    0.000    0.000    0.061    0.061 formatter.py:1(<module>)
        1    0.000    0.000    0.061    0.061 dammit.py:1(<module>)
        1    0.004    0.004    0.050    0.050 dammit.py:128(_populate_class_variables)
      189    0.000    0.000    0.047    0.000 _compiler.py:576(_code)
        2    0.000    0.000    0.046    0.023 connection.py:1(<module>)
      212    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
        1    0.000    0.000    0.038    0.038 css_parser.py:417(CSSParser)
      961    0.008    0.000    0.036    0.000 parser.py:407(parse_starttag)
 5131/189    0.017    0.000    0.036    0.000 _compiler.py:37(_compile)
       15    0.000    0.000    0.036    0.002 css_parser.py:294(__init__)
        2    0.000    0.000    0.033    0.017 _synchronization.py:1(<module>)
        1    0.000    0.000    0.033    0.033 request.py:1(<module>)
        1    0.000    0.000    0.029    0.029 _htmlparser.py:361(prepare_markup)
        1    0.000    0.000    0.029    0.029 dammit.py:775(__init__)
        2    0.000    0.000    0.028    0.014 _models.py:1(<module>)
        1    0.000    0.000    0.027    0.027 dammit.py:593(encodings)
        1    0.000    0.000    0.027    0.027 dammit.py:71(_chardet_dammit)
        1    0.000    0.000    0.026    0.026 legacy.py:19(detect)
        1    0.010    0.010    0.026    0.026 api.py:33(from_bytes)
      212    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
        1    0.000    0.000    0.024    0.024 client.py:1(<module>)
      212    0.023    0.000    0.023    0.000 {built-in method marshal.loads}
       19    0.000    0.000    0.022    0.001 css_match.py:1473(select)
       65    0.000    0.000    0.022    0.000 css_match.py:1478(iselect)
       24    0.000    0.000    0.021    0.001 _decoders.py:95(decode)
       65    0.000    0.000    0.021    0.000 css_match.py:1383(select)
       24    0.021    0.001    0.021    0.001 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.021    0.021 element.py:3126(select)
        1    0.000    0.000    0.021    0.021 css.py:162(select)
        1    0.000    0.000    0.021    0.021 __init__.py:95(select)
      266    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      988    0.001    0.000    0.019    0.000 css_match.py:1414(match)
      961    0.002    0.000    0.019    0.000 _htmlparser.py:142(handle_starttag)
        1    0.000    0.000    0.017    0.017 css_parser.py:314(__init__)
      988    0.002    0.000    0.017    0.000 css_match.py:1299(match_selectors)
      884    0.003    0.000    0.017    0.000 parser.py:465(parse_endtag)
      246    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
      246    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
       17    0.000    0.000    0.016    0.001 css_parser.py:1040(process_selectors)
    48/17    0.001    0.000    0.016    0.001 css_parser.py:847(parse_selectors)
      961    0.004    0.000    0.016    0.000 __init__.py:990(handle_starttag)
        2    0.000    0.000    0.015    0.007 parser.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _fileio.py:1(<module>)
        1    0.000    0.000    0.014    0.014 to_thread.py:1(<module>)
        5    0.000    0.000    0.014    0.003 cd.py:346(coherence_ratio)
      488    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
        1    0.000    0.000    0.013    0.013 _config.py:23(create_ssl_context)
        2    0.000    0.000    0.013    0.007 http11.py:1(<module>)
1980/1946    0.001    0.000    0.013    0.000 typing.py:426(inner)
       26    0.000    0.000    0.012    0.000 dataclasses.py:1294(wrap)
       26    0.001    0.000    0.012    0.000 dataclasses.py:929(_process_class)
      961    0.001    0.000    0.012    0.000 _htmlparser.py:204(handle_endtag)
      961    0.001    0.000    0.011    0.000 __init__.py:1056(handle_endtag)
        1    0.000    0.000    0.011    0.011 _connection.py:1(<module>)
    35/27    0.000    0.000    0.011    0.000 css_parser.py:557(parse_pseudo_class)
    31/26    0.000    0.000    0.011    0.000 css_parser.py:704(parse_pseudo_open)
    26411    0.008    0.000    0.011    0.000 _parser.py:167(__getitem__)
67601/61729    0.009    0.000    0.011    0.000 {built-in method builtins.len}
      189    0.001    0.000    0.010    0.000 _compiler.py:514(_compile_info)
    81186    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      962    0.002    0.000    0.009    0.000 element.py:1813(__init__)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
1263/1162    0.007    0.000    0.009    0.000 {built-in method __new__ of type object at 0xa13020}
  240/237    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      120    0.007    0.000    0.008    0.000 cd.py:172(characters_popularity_compare)
     3406    0.005    0.000    0.008    0.000 util.py:18(lower)
        1    0.000    0.000    0.008    0.008 ssl.py:682(create_default_context)
        1    0.000    0.000    0.008    0.008 _content.py:1(<module>)
        2    0.000    0.000    0.008    0.004 readers.py:1(<module>)
     1951    0.001    0.000    0.008    0.000 __init__.py:829(endData)
      705    0.005    0.000    0.008    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.008    0.008 _multipart.py:1(<module>)
 5087/384    0.006    0.000    0.008    0.000 _parser.py:177(getwidth)
      988    0.001    0.000    0.007    0.000 css_match.py:690(match_tag)
    11645    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
       26    0.000    0.000    0.007    0.000 dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
      988    0.001    0.000    0.007    0.000 css_match.py:778(match_classes)
      212    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
46867/46845    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.007    0.003 _sockets.py:1(<module>)
    13708    0.004    0.000    0.007    0.000 _parser.py:260(get)
      988    0.001    0.000    0.007    0.000 css_match.py:315(get_classes)
      189    0.000    0.000    0.006    0.000 _parser.py:97(closegroup)
      121    0.004    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.006    0.006 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _events.py:1(<module>)
      988    0.001    0.000    0.006    0.000 css_match.py:291(get_attribute_by_name)
  136/102    0.000    0.000    0.006    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.005    0.005 _urls.py:1(<module>)
      271    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      276    0.001    0.000    0.005    0.000 typing.py:1423(__init__)
      961    0.004    0.000    0.005    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      102    0.000    0.000    0.005    0.000 typing.py:753(Union)
        2    0.000    0.000    0.005    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 core.py:21(where)
  494/493    0.001    0.000    0.005    0.000 {built-in method builtins.next}
       13    0.001    0.000    0.005    0.000 enum.py:898(_convert_)
       77    0.001    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
      988    0.001    0.000    0.005    0.000 css_match.py:681(match_tagname)
        1    0.000    0.000    0.005    0.005 _common.py:33(wrapper)
        1    0.000    0.000    0.005    0.005 _common.py:51(files)
        1    0.000    0.000    0.005    0.005 _common.py:108(from_package)
       19    0.002    0.000    0.005    0.000 enum.py:1753(convert_class)
  213/207    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
     3129    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        2    0.000    0.000    0.004    0.002 _streams.py:1(<module>)
      240    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.004    0.004 _adapters.py:149(_native)
        1    0.000    0.000    0.004    0.004 _adapters.py:144(_reader)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1224(get_resource_reader)
      308    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      381    0.001    0.000    0.004    0.000 element.py:1478(__new__)
      319    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
       50    0.001    0.000    0.004    0.000 _connection.py:438(next_event)
        1    0.000    0.000    0.004    0.004 api.py:1(<module>)
     1092    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
    11577    0.003    0.000    0.004    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.004    0.004 tempfile.py:1(<module>)
    10845    0.003    0.000    0.004    0.000 _parser.py:255(match)
    21462    0.004    0.000    0.004    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
      424    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      490    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
     1092    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      508    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.003    0.003 _readers.py:1(<module>)
      8/6    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1319(create_module)
      8/6    0.002    0.000    0.003    0.001 {built-in method _imp.create_dynamic}
      961    0.002    0.000    0.003    0.000 __init__.py:953(_popToTag)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        2    0.000    0.000    0.003    0.002 core.py:1(<module>)
       90    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
     1927    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      432    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      988    0.001    0.000    0.003    0.000 css_match.py:493(get_tag)
      212    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
  140/135    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
     6914    0.002    0.000    0.003    0.000 _parser.py:175(append)
      212    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       28    0.000    0.000    0.003    0.000 enum.py:498(__new__)
        1    0.000    0.000    0.003    0.003 _models.py:1101(extract_cookies)
     3740    0.001    0.000    0.003    0.000 _markupbase.py:44(updatepos)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
        5    0.001    0.000    0.003    0.001 cd.py:137(alphabet_languages)
       84    0.000    0.000    0.003    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.003    0.003 css_match.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _types.py:1(<module>)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.003    0.003 memory.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _urlparse.py:1(<module>)
      961    0.001    0.000    0.002    0.000 parser.py:455(check_for_whole_start_tag)
     1804    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
       18    0.000    0.000    0.002    0.000 element.py:3109(select_one)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
    10954    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       18    0.000    0.000    0.002    0.000 css.py:132(select_one)
       18    0.000    0.000    0.002    0.000 __init__.py:89(select_one)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      317    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1327(exec_module)
       77    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
      113    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
    18967    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     7815    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 from_thread.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _eventloop.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dammit.py:930(_convert_from)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        5    0.002    0.000    0.002    0.000 cd.py:252(alpha_unicode_split)
        1    0.002    0.002    0.002    0.002 dammit.py:969(_to_unicode)
       50    0.000    0.000    0.002    0.000 _connection.py:410(_extract_next_receive_event)
        8    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2262    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      988    0.001    0.000    0.002    0.000 css_match.py:640(match_namespace)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
      280    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
       13    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
      354    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
      989    0.001    0.000    0.002    0.000 css_match.py:198(get_descendants)
     1082    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
       18    0.000    0.000    0.002    0.000 css_match.py:1467(select_one)
      140    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
        1    0.000    0.000    0.002    0.002 _ssl.py:1(<module>)
      962    0.001    0.000    0.002    0.000 __init__.py:812(pushTag)
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     2423    0.001    0.000    0.002    0.000 css_match.py:94(is_tag)
       34    0.000    0.000    0.002    0.000 typing.py:806(Optional)
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     3593    0.001    0.000    0.002    0.000 _parser.py:292(tell)
      364    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 _headers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
       99    0.001    0.000    0.002    0.000 enum.py:251(__set_name__)
     2268    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
     4527    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
      381    0.001    0.000    0.002    0.000 __init__.py:870(object_was_parsed)
     1520    0.001    0.000    0.002    0.000 parser.py:104(_unescape_attrvalue)
    13599    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      308    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      188    0.001    0.000    0.001    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
     4535    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 cookiejar.py:1681(extract_cookies)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
       29    0.000    0.000    0.001    0.000 _connection.py:272(_process_event)
      308    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      570    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      705    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     9175    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
     2248    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      570    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      196    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 _models.py:1249(__init__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      424    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1041    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
      720    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
       41    0.001    0.000    0.001    0.000 cd.py:120(get_target_features)
      155    0.001    0.000    0.001    0.000 enum.py:354(__setitem__)
       40    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
     1501    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
